NORADID,B,sigmaB,tiheyskorkeus,NORADID,B,sigmaB,tiheyskorkeus
22,0.023184,0.0012249,555.65,8744,0.010849,0.00048108,426.76
60,0.021972,0.00076404,409.1,10517,0.019971,0.0012696,515.02
63,0.013851,0.00041278,506.95,12138,0.011016,0.00049237,441.4
107,0.021338,0.0012558,508.82,12388,0.011179,0.00048428,430.31
165,0.047423,0.0013521,578.77,12445,0.018817,0.00064185,378.67
614,0.013741,0.00049288,359.31,12849,0.0059853,0.00023662,446.35
1685,0.031811,0.00091108,554.35,14483,0.010538,0.00041707,435.81
1805,0.030132,0.0021946,557.83,14694,0.0017451,0.000050424,310.65
1981,0.026446,0.00075328,541.48,19822,0.020854,0.00075956,303.12
2016,0.029307,0.0021836,538.5,19824,0.032866,0.00067006,281.29
2150,0.02124,0.00072539,380.76,20453,0.020478,0.00096756,470.26
2153,0.030417,0.0018991,554.28,20571,0.02059,0.0012788,525.79
2389,0.015301,0.0004788,388.74,20763,0.019772,0.0011542,501.5
2622,0.021468,0.0012024,523.75,20774,0.011148,0.00053066,437.92
3608,0.07031,0.0035767,492.66,21393,0.019677,0.00093649,426.61
3827,0.021178,0.0010976,536.22,21835,0.018279,0.0010572,484.09
4053,0.0051384,0.00013888,277.75,22196,0.01575,0.00048007,318.33
4119,0.017226,0.0011507,369.1,22781,0.019672,0.00045456,237.23
4221,0.021408,0.00078236,410.65,23278,0.010807,0.00046326,443.95
4330,0.02353,0.00087718,323.43,23853,0.0079354,0.00018031,299.97
4849,0.014115,0.00047304,433.6,24285,0.014225,0.00046896,391.93
6073,0.0030028,0.000061025,238.86,1616,0.019397,0.00098471,436.65
7337,0.010988,0.00048337,426.06,2017,0.039339,0.002724,538
8063,0.01905,0.00061113,350.48,23198,0.019535,0.00083839,396.82
